 	Mean1	Mean2	Mean3
476	1109.914	1737.867	1345.682
477	1006.229	1585.422	1232.795
478	1001.686	1466.400	1151.364
479	965.114	1339.933	1081.477
480	932.343	1267.933	1014.318
481	916.257	1282.467	1063.705
482	918.743	1322.444	1144.477
483	956.571	1410.200	1212.386
484	907.600	1381.756	1165.091
485	879.886	1280.178	1118.500
486	880.400	1284.667	1173.432
487	1014.743	1365.422	1477.682
488	1081.343	1302.400	1393.477
489	1036.657	1228.444	1285.818
490	1035.343	1205.533	1164.750
491	1009.171	1184.244	1129.341
492	935.486	1158.600	1091.205
493	905.486	1131.089	1034.295
494	907.886	1130.222	1021.386
495	846.743	1117.311	986.977
496	832.143	1125.911	956.977
497	810.657	1126.778	931.091
498	790.829	1102.911	881.545
499	765.429	1084.422	873.477
500	773.714	1093.800	865.159
501	750.257	1075.600	840.023
502	822.571	1186.756	913.818
503	941.200	1588	1138.182
504	934.057	1568.978	1188.864
505	877.143	1509	1152.227
506	859.600	1410.156	1098.045
507	808.743	1336.200	1120.227
508	817.486	1263.311	1136.318
509	888.314	1503.489	1423.318
510	894.829	1521.111	1459.114
511	880.371	1559.933	1592.227
512	865.457	1463.467	1586.364
513	853.371	1440.800	1771.727
514	909.229	1618.378	1770.500
515	977.714	1970.822	1822.091
516	1173.743	2283.800	2165.568
517	1362.743	2520.778	2377.205
518	1348.286	2349.622	2425.886
519	1190.400	2063.556	2221.636
520	1101.600	1823.311	1963.455
521	973.686	1647.711	1716.091
522	924.971	1490.889	1633.568
523	993.143	1452.711	1717.136
524	1025.429	1414.178	1719.909
525	1001.371	1342.533	1638.568
526	1029.771	1321.711	1547.523
527	965.257	1277.222	1448.614
528	903.086	1250	1301.182
529	868.486	1239.289	1171.227
530	846.800	1179.489	1157
531	863.571	1242.733	1133.682
532	1048.571	1313.044	1149.023
533	1308.371	1507.978	1336.545
534	1270.857	1554.644	1312.864
535	1162.457	1485.600	1204
536	1053.143	1421.289	1125.636
537	972.486	1348.933	1021.318
538	932.971	1273.089	990.136
539	911.200	1237.356	921.114
540	834	1207.756	890.318
541	814.971	1169.244	866.636
542	819.486	1135.756	831.114
543	898.486	1207.644	889.636
544	911.429	1230.178	913.455
545	917.629	1249.178	972.432
546	902.343	1226.044	956.114
547	951.800	1315.533	1028.364
548	1096.171	1437.356	1237.932
549	1062.029	1393.267	1321.159
550	1007.143	1298.867	1307.818
551	908.029	1239.556	1183.932
552	865.857	1225.111	1121.909
553	816.429	1159.578	1008.273
554	730.571	1097.267	924.295
555	719.257	1055.089	871.932
556	780.314	1084.800	1013.659
557	802.886	1135.844	1052.455
558	836	1155.867	1027.909
559	815.629	1136.311	1016.068
560	795.829	1132.689	949.909
561	759.686	1145.111	906.568
562	816.829	1119.356	907
563	1095.371	1122.511	945.818
564	1194.657	1200.022	953.705
565	1177.771	1185.844	915.977
566	1173.314	1187.422	947.318
567	1190.657	1155.489	944.955
568	1349.371	1132.933	953.364
569	1269.057	1141.111	938.523
570	1362.457	1126.933	966.159
571	1713.200	1112.511	1054.523
572	1867.457	1114.356	1107.159
573	1864.286	1098.311	1097.068
574	1803.886	1072.956	1008.886
575	1660.371	1047.933	983.727
576	1631.800	1039.467	958.909
577	1594.571	1021.778	951.045
578	1802.314	1094.822	1226.591
579	1942.914	1084.200	1317.727
580	1802.600	1059.178	1238.864
581	1699.800	990.889	1103.273
582	1538.257	972.867	1017.841
583	1350.771	1001.022	950.136
584	1297.343	1277.889	946.614
585	1342.029	1543.711	1117.023
586	1245.314	1777.844	1195.841
587	1106.057	1782.844	1122.545
588	1063.629	1602.244	1071.795
589	1027.571	1461.911	1002.795
590	933.571	1361.756	950.614
591	873.343	1285.422	949.227
592	853.686	1205.311	907.250
593	1119.229	1291.356	999.909
594	1177.686	1309.533	1044.773
595	1146.829	1227.222	1010.136
596	1062.771	1159.556	949.795
597	1098.514	1158.844	906.182
598	1077.771	1149.533	908.932
599	1082.943	1190.978	916.114
600	1073.400	1170.889	919.136
601	1111.371	1160.378	914
602	1054.857	1144.711	899.045
603	985.314	1112.978	873.932
604	1136.829	1163.867	931.364
605	1355.629	1272.356	951.886
606	1342.971	1247.933	974.636
607	1319.143	1196.844	958.182
608	1374.343	1218.267	1157.682
609	1327.029	1146	1142.250
610	1176.514	1081.111	1023.159
611	1083.343	1083.333	994.909
612	956.629	1032.244	919.773
613	899.029	951.311	866.591
614	883.943	978.044	878.432
615	856.543	971.244	876.864
616	854.829	973.733	884.864
617	807.686	1058.756	855.795
618	912.914	1315.622	892.318
619	1062	1364.667	919.114
620	990.514	1289.156	918.591
621	935.886	1238.089	874.250
622	878.371	1215.822	876.432
623	868	1228.911	945.045
624	989.943	1208.511	985.523
625	1016.457	1176.822	1008.364
626	1187.571	1141.489	1060.795
627	1236.686	1181.178	1118.182
628	1260.143	1163	1128.341
629	1197.143	1120.800	1199.432
630	1191.371	1121.489	1208.841
631	1262.029	1140.311	1188.114
632	1401.886	1146.178	1315.773
633	1456.629	1136	1333.273
634	1463.486	1133.378	1603.795
635	1426.229	1139.489	1533.932
636	1524.143	1131.733	1649.068
637	1421.771	1075.733	1623.341
638	1329.429	1104.533	1590.682
639	1427.543	1142	1765.932
640	1279.314	1095.511	1595.818
641	1171.371	1033.022	1450.023
642	1050.429	985.533	1352.977
643	1020.971	976.489	1272.227
644	977.914	991.489	1232.977
645	936.371	1067.533	1228.795
646	888.657	1111.156	1270.045
647	840.400	1077.867	1141.500
648	817.829	1027.022	1063.205
649	781.829	978.644	972.341
650	726.657	946.111	924.886
651	713.600	920.378	907.614
652	722.743	956.133	856.205
653	785.029	999.222	930.750
654	882.743	1063.356	1237.909
655	908.371	1062.844	1438.795
656	956.686	1109.467	1731.773
657	970.029	1110.578	1794.500
658	918.771	1039.111	1647.682
659	909.343	1044.933	1609.477
660	858.486	1031.711	1503.068
661	855.914	1042.089	1534.705
662	853.229	1068.333	1495.273
663	900.257	1095.911	1543.523
664	933.429	1125.978	1532.386
665	944.600	1124.133	1491.682
666	939.514	1105.422	1427.182
667	943.029	1094.867	1333.977
668	930.371	1074	1259.409
669	970	1128.267	1265.727
670	995.829	1092.867	1190.045
671	930.914	1067.533	1077.455
672	872.686	1051.911	1019.932
673	786.200	1000.644	924.318
674	779.314	1020.711	904.068
675	744.286	968.044	872.068
676	740.229	985.422	855.795
677	763.800	980.578	855.318
678	736.943	993.356	839.727
679	739.857	994.911	841.545
680	728.571	1012.022	848.091
681	705.114	1009.622	822.409
